

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
056.535  000.049  000.049: sourcing /usr/share/nvim/runtime/plugin/shada.vim
056.563  000.013  000.013: sourcing /usr/share/nvim/runtime/plugin/spellfile.vim
056.649  000.077  000.077: sourcing /usr/share/nvim/runtime/plugin/tarPlugin.vim
056.729  000.065  000.065: sourcing /usr/share/nvim/runtime/plugin/tohtml.vim
056.772  000.011  000.011: sourcing /usr/share/nvim/runtime/plugin/tutor.vim
056.891  000.108  000.108: sourcing /usr/share/nvim/runtime/plugin/zipPlugin.vim
057.304  000.065  000.065: require('alpha')
061.635  000.038  000.038: require('dap.utils')
061.676  000.171  000.133: require('dap')
061.856  000.049  000.049: require('dapui.config')
061.859  000.088  000.038: require('dapui.util')
061.923  000.039  000.039: require('dapui.render.canvas')
061.950  000.025  000.025: require('dapui.render.loop')
061.951  000.091  000.026: require('dapui.render')
061.988  000.036  000.036: require('dapui.windows.layout')
061.990  000.259  000.044: require('dapui.windows')
061.996  000.318  000.059: require('dapui')
062.121  000.049  000.049: require('dapui.config.highlights')
062.202  000.049  000.049: require('dapui.state')
062.266  000.030  000.030: require('dapui.elements.repl')
062.304  000.028  000.028: require('dapui.elements.console')
062.331  000.024  000.024: require('dapui.elements.watches')
062.401  000.034  000.034: require('dapui.components.variables')
062.404  000.071  000.037: require('dapui.components.watches')
062.457  000.027  000.027: require('dapui.components.hover')
062.459  000.052  000.026: require('dapui.elements.hover')
062.486  000.024  000.024: require('dapui.elements.breakpoints')
062.538  000.027  000.027: require('dapui.components.buf_breakpoints')
062.540  000.053  000.026: require('dapui.components.breakpoints')
062.570  000.025  000.025: require('dapui.elements.scopes')
062.597  000.026  000.026: require('dapui.components.scopes')
062.627  000.028  000.028: require('dapui.elements.stacks')
062.685  000.024  000.024: require('dapui.components.frames')
062.686  000.058  000.034: require('dapui.components.threads')
062.770  000.028  000.028: require('dap.log')
062.889  000.037  000.037: require('project_nvim.config')
062.946  000.024  000.024: require('project_nvim.utils.path')
062.951  000.061  000.037: require('project_nvim.utils.history')
062.953  000.156  000.058: require('project_nvim')
063.017  000.026  000.026: require('project_nvim.utils.globtopattern')
063.139  000.079  000.079: require('project_nvim.project')
063.464  000.100  000.100: require('illuminate')
063.536  000.069  000.069: require('illuminate.config')
063.651  000.048  000.048: require('luasnip.loaders.util')
063.654  000.098  000.050: require('luasnip.loaders.from_lua')
063.920  000.051  000.051: require('luasnip.nodes.snippetProxy')
063.925  000.100  000.049: require('luasnip.loaders.from_vscode')
068.617  000.081  000.081: require('luasnip.loaders.from_snipmate')
069.385  000.044  000.044: require('mason')
069.519  000.085  000.085: require('mason.api.command')
069.671  000.080  000.080: require('indent_blankline/utils')
069.674  000.150  000.070: require('indent_blankline')
070.398  000.411  000.411: require('nvim-tree.notify')
070.408  000.460  000.049: require('nvim-tree.events')
070.535  000.037  000.037: require('nvim-tree.log')
070.663  000.043  000.043: require('nvim-tree.iterators.node-iterator')
070.697  000.161  000.118: require('nvim-tree.utils')
070.781  000.082  000.082: require('nvim-tree.git.utils')
070.839  000.057  000.057: require('nvim-tree.git.runner')
070.890  000.050  000.050: require('nvim-tree.watcher')
070.896  000.440  000.054: require('nvim-tree.git')
070.934  000.037  000.037: require('nvim-tree.explorer.watch')
070.969  000.034  000.034: require('nvim-tree.explorer.common')
071.049  000.039  000.039: require('nvim-tree.explorer.node-builders')
071.088  000.037  000.037: require('nvim-tree.explorer.sorters')
071.121  000.033  000.033: require('nvim-tree.explorer.filters')
071.278  000.110  000.110: require('nvim-tree.view')
071.283  000.161  000.050: require('nvim-tree.live-filter')
071.287  000.317  000.047: require('nvim-tree.explorer.explore')
071.329  000.041  000.041: require('nvim-tree.explorer.reload')
071.334  000.924  000.056: require('nvim-tree.explorer')
071.340  001.425  000.041: require('nvim-tree.core')
071.453  000.111  000.111: require('nvim-tree.diagnostics')
071.495  000.040  000.040: require('nvim-tree.renderer.components.padding')
071.561  000.065  000.065: require('nvim-tree.renderer.components.icons')
071.602  000.040  000.040: require('nvim-tree.renderer.components.full-name')
071.636  000.033  000.033: require('nvim-tree.renderer.help')
072.005  000.367  000.367: require('nvim-tree.renderer.components.git')
072.218  000.210  000.210: require('nvim-tree.renderer.builder')
072.347  000.127  000.127: require('nvim-tree.marks')
072.359  002.485  000.066: require('nvim-tree.renderer')
072.462  000.088  000.088: require('nvim-tree.actions.tree-modifiers.collapse-all')
072.678  000.214  000.214: require('nvim-tree.actions.root.dir-up')
072.914  000.235  000.235: require('nvim-tree.actions.root.change-dir')
073.022  000.106  000.106: require('nvim-tree.actions.reloaders.reloaders')
073.188  000.127  000.127: require('nvim-tree.actions.finders.find-file')
073.190  003.380  000.125: require('nvim-tree.lib')
073.300  000.109  000.109: require('nvim-tree.colors')
073.506  000.204  000.204: require('nvim-tree.legacy')
073.655  000.148  000.148: require('nvim-tree.actions.fs.copy-paste')
073.842  000.085  000.085: require('nvim-tree.actions.tree-modifiers.expand-all')
073.898  000.055  000.055: require('nvim-tree.actions.tree-modifiers.toggles')
074.000  000.099  000.099: require('nvim-tree.actions.fs.create-file')
074.057  000.055  000.055: require('nvim-tree.actions.fs.rename-file')
074.167  000.109  000.109: require('nvim-tree.actions.fs.trash')
074.255  000.086  000.086: require('nvim-tree.actions.fs.remove-file')
074.331  000.074  000.074: require('nvim-tree.actions.moves.parent')
074.409  000.076  000.076: require('nvim-tree.actions.moves.sibling')
074.484  000.074  000.074: require('nvim-tree.actions.moves.item')
074.579  000.085  000.085: require('nvim-tree.actions.finders.search-node')
